City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
149,Muros,ES,42.7762,-9.0603,64.24,80,41,8.88,scattered clouds
150,Talnakh,RU,69.4865,88.3972,58.5,90,100,6.33,overcast clouds
151,Pevek,RU,69.7008,170.3133,33.01,89,100,12.17,overcast clouds
152,Cabo San Lucas,MX,22.8909,-109.9124,95.61,66,1,4.0,clear sky
153,Lipari,IT,38.4674,14.954,86.09,73,0,5.37,clear sky
154,Rubio,VE,7.7013,-72.3557,81.45,87,56,4.88,broken clouds
155,Aden,YE,12.7794,45.0367,81.55,76,57,6.96,light rain
156,Virden,US,39.5009,-89.7679,80.85,71,11,6.69,few clouds
157,Puerto Ayora,EC,-0.7393,-90.3518,69.55,97,68,1.99,light rain
158,Talara,PE,-4.5772,-81.2719,67.32,84,76,14.67,broken clouds
159,Mareeba,AU,-17.0,145.4333,73.33,85,91,5.06,overcast clouds
160,Marawi,PH,7.9986,124.2928,68.65,80,84,2.37,broken clouds
161,Namibe,AO,-15.1961,12.1522,67.39,82,36,5.1,scattered clouds
162,Kaitangata,NZ,-46.2817,169.8464,54.93,83,97,4.81,light rain
163,Lang Son,VN,21.8333,106.7333,78.75,92,100,1.45,overcast clouds
164,Tasiilaq,GL,65.6145,-37.6368,48.36,79,21,2.21,few clouds
165,Waingapu,ID,-9.6567,120.2641,73.72,78,10,6.22,clear sky
166,Swan River,CA,52.1058,-101.2676,87.67,18,27,13.42,scattered clouds
167,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.06,93,99,11.5,overcast clouds
168,Poum,NC,-20.2333,164.0167,70.66,57,0,24.54,clear sky
169,Ballina,AU,-28.8667,153.5667,58.78,62,1,6.04,clear sky
170,Port Macquarie,AU,-31.4333,152.9167,54.9,50,0,7.29,clear sky
171,Taksimo,RU,56.3444,114.8794,64.09,58,23,1.48,few clouds
172,Kahului,US,20.8947,-156.47,87.96,66,40,26.46,scattered clouds
173,Iquique,CL,-20.2208,-70.1431,59.04,85,100,0.76,overcast clouds
174,Gornopravdinsk,RU,60.05,69.9,54.05,99,100,2.93,light rain
175,Chuy,UY,-33.6971,-53.4616,45.37,76,0,6.38,clear sky
176,Salalah,OM,17.0151,54.0924,77.09,94,90,11.5,overcast clouds
177,Ayr,GB,55.4627,-4.6339,60.49,94,20,8.05,few clouds
178,Ocampo,MX,21.65,-101.5,69.01,54,77,19.04,broken clouds
179,Kollo,NE,13.3043,2.339,85.01,57,98,8.84,overcast clouds
180,Kapit,MY,2.0167,112.9333,73.54,99,74,1.21,broken clouds
181,Kruisfontein,ZA,-34.0033,24.7314,50.54,78,6,5.39,clear sky
182,Srednekolymsk,RU,67.45,153.6833,51.13,49,100,11.74,overcast clouds
183,Lebu,CL,-37.6167,-73.65,50.07,92,99,14.25,overcast clouds
184,Ternate,ID,0.8,127.4,81.23,80,49,1.01,moderate rain
185,Rawson,AR,-43.3002,-65.1023,51.58,37,100,17.58,overcast clouds
186,Shar,KZ,49.5886,81.0453,56.75,40,0,4.56,clear sky
187,Snasa,NO,64.2457,12.3778,52.57,86,100,4.03,overcast clouds
188,Kiunga,PG,-6.1219,141.2906,72.9,99,100,2.01,overcast clouds
189,Beloha,MG,-25.1667,45.05,63.75,88,0,4.56,clear sky
190,Dawson Creek,CA,55.7666,-120.2362,82.67,31,3,7.09,clear sky
191,Mandalgovi,MN,45.7625,106.2708,53.71,84,2,19.33,clear sky
192,Pudozh,RU,61.8099,36.5345,56.21,89,66,3.71,broken clouds
193,Maniitsoq,GL,65.4167,-52.9,47.88,81,77,8.7,broken clouds
194,Lavrentiya,RU,65.5833,-171.0,45.23,90,99,6.53,overcast clouds
195,Tautira,PF,-17.7333,-149.15,82.42,69,57,16.87,broken clouds
196,Hatillo,PR,18.4863,-66.8254,85.08,80,60,20.89,broken clouds
197,Evensk,RU,61.95,159.2333,53.87,48,35,2.98,scattered clouds
198,Praia,CV,14.9215,-23.5087,77.54,83,75,12.66,broken clouds
199,Bambous Virieux,MU,-20.3428,57.7575,66.22,63,53,16.6,broken clouds
200,Sistranda,NO,63.7256,8.834,54.9,78,100,4.41,overcast clouds
201,Saint-Francois,FR,46.4154,3.9054,65.41,90,0,3.44,clear sky
202,Sola,VU,-13.8833,167.55,78.37,75,84,17.11,broken clouds
203,Alyangula,AU,-13.8483,136.4192,71.47,100,75,0.0,broken clouds
204,Geraldton,AU,-28.7667,114.6,56.12,71,40,12.66,scattered clouds
205,Saint-Philippe,RE,-21.3585,55.7679,67.59,74,80,14.52,broken clouds
206,Havelock,US,34.8791,-76.9013,91.36,87,10,7.0,clear sky
207,Najran,SA,17.4924,44.1277,85.32,35,93,7.16,overcast clouds
208,Fukue,JP,32.6881,128.8419,81.45,82,59,6.4,broken clouds
209,Vezirkopru,TR,41.1436,35.4547,63.09,64,0,1.43,clear sky
210,Ambon,ID,-3.6954,128.1814,73.54,94,40,1.14,scattered clouds
211,Benguela,AO,-12.5763,13.4055,69.87,88,3,2.91,clear sky
212,Georgetown,MY,5.4112,100.3354,76.95,92,20,0.0,few clouds
213,Codrington,AU,-38.2667,141.9667,51.84,80,57,14.0,broken clouds
214,Vao,NC,-22.6667,167.4833,67.59,55,1,24.58,clear sky
215,Grand Gaube,MU,-20.0064,57.6608,66.38,71,55,5.01,broken clouds
216,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,100,90,11.18,light intensity shower rain
217,Ibra,OM,22.6906,58.5334,84.22,58,79,5.99,broken clouds
218,Bengkulu,ID,-3.8004,102.2655,74.41,91,24,5.21,few clouds
219,Guerrero Negro,MX,27.9769,-114.0611,80.33,59,13,17.67,few clouds
220,Barabinsk,RU,55.3571,78.357,57.72,57,60,12.64,broken clouds
221,Cravinhos,BR,-21.3403,-47.7294,54.32,37,29,5.91,scattered clouds
222,Moengo,SR,5.6167,-54.4,73.9,98,99,2.35,overcast clouds
223,Khani,GE,41.9563,42.9566,62.17,95,82,0.92,broken clouds
224,Abu Samrah,SY,35.3029,37.1841,78.3,49,0,7.63,clear sky
225,Asind,IN,25.7333,74.3333,77.67,86,100,23.09,overcast clouds
226,Quime,BO,-16.9833,-67.2167,46.15,90,90,4.34,overcast clouds
227,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,9,5.28,clear sky
228,Isangel,VU,-19.55,169.2667,72.7,60,93,17.56,overcast clouds
