City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
140,Port Hedland,AU,64.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
141,Rock Springs,US,80.04,few clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
142,Biak,ID,76.23,broken clouds,-0.9131,122.8766,Penginapan Kim
143,Bar Harbor,US,68.94,few clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
144,Skibbereen,IE,58.8,broken clouds,51.55,-9.2667,The West Cork Hotel
145,Dharchula,IN,71.2,overcast clouds,29.85,80.5333,Mahara Hotel
146,Zhifang,CN,82.49,clear sky,30.35,114.3167,Echarm Hotel Jiangxia Zhongbai Plaza
147,Pozzallo,IT,84.22,clear sky,36.7305,14.8499,Mare Nostrum Petit Hôtel
148,Pangnirtung,CA,58.71,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
149,Muros,ES,64.24,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
150,Talnakh,RU,58.5,overcast clouds,69.4865,88.3972,Talnakh Hotel
152,Cabo San Lucas,MX,95.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
153,Lipari,IT,86.09,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
154,Rubio,VE,81.45,broken clouds,7.7013,-72.3557,Tourist Inn Where Maria P
155,Aden,YE,81.55,light rain,12.7794,45.0367,Sama Emirate Hotel
156,Virden,US,80.85,few clouds,39.5009,-89.7679,Virden Nail Spa
157,Puerto Ayora,EC,69.55,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
158,Talara,PE,67.32,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
159,Mareeba,AU,73.33,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
160,Marawi,PH,68.65,broken clouds,7.9986,124.2928,Derogongan Residence
161,Namibe,AO,67.39,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
162,Kaitangata,NZ,54.93,light rain,-46.2817,169.8464,Kaitangata Motor Camp
163,Lang Son,VN,78.75,overcast clouds,21.8333,106.7333,Khai Nga Hotel
165,Waingapu,ID,73.72,clear sky,-9.6567,120.2641,Pondok Wisata Elim
166,Swan River,CA,87.67,scattered clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
167,Havre-Saint-Pierre,CA,57.06,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
168,Poum,NC,70.66,clear sky,-20.2333,164.0167,Gîte kajeon
169,Ballina,AU,58.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
170,Port Macquarie,AU,54.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
171,Taksimo,RU,64.09,few clouds,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
172,Kahului,US,87.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
173,Iquique,CL,59.04,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
174,Gornopravdinsk,RU,54.05,light rain,60.05,69.9,Burovik
176,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
177,Ayr,GB,60.49,few clouds,55.4627,-4.6339,Mercure Ayr Hotel
178,Ocampo,MX,69.01,broken clouds,21.65,-101.5,Casa de ratas
180,Kapit,MY,73.54,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
181,Kruisfontein,ZA,50.54,clear sky,-34.0033,24.7314,Oyster Bay House Rental
183,Lebu,CL,50.07,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
184,Ternate,ID,81.23,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
185,Rawson,AR,51.58,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
187,Snasa,NO,52.57,overcast clouds,64.2457,12.3778,Snåsa Hotell AS
188,Kiunga,PG,72.9,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
190,Dawson Creek,CA,82.67,clear sky,55.7666,-120.2362,Peace Villa Motel
191,Mandalgovi,MN,53.71,clear sky,45.7625,106.2708,В.Ганбат
192,Pudozh,RU,56.21,broken clouds,61.8099,36.5345,Guest-House na Transportnoy
195,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
196,Hatillo,PR,85.08,broken clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
198,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
199,Bambous Virieux,MU,66.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
200,Sistranda,NO,54.9,overcast clouds,63.7256,8.834,Hotell Frøya
201,Saint-Francois,FR,65.41,clear sky,46.4154,3.9054,Manoir Du Bonheur
202,Sola,VU,78.37,broken clouds,-13.8833,167.55,Leumerus Bungalows
203,Alyangula,AU,71.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
204,Geraldton,AU,56.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
205,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
206,Havelock,US,91.36,clear sky,34.8791,-76.9013,Sherwood Motel
207,Najran,SA,85.32,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
208,Fukue,JP,81.45,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
209,Vezirkopru,TR,63.09,clear sky,41.1436,35.4547,Vezirkopru Ogretmenevi
210,Ambon,ID,73.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
211,Benguela,AO,69.87,clear sky,-12.5763,13.4055,Hotel Praia Morena
212,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
